author,content
ladygaga,Trump is anti-LGBT rights. #GoVote #VoteHillary #election2016 #ImWithHer #Vote #LGBT #equality https://t.co/RZTSPNBfwl
ladygaga,#ElectionFinalThoughts #ImWithHer #GoVote #Vote You cannot sit this one out it's too important it will change our c… https://t.co/MfWPRoydwc
ladygaga,"On my way to Raleigh, NC. Let's Do This. Text GAGA to 47246 &amp; hear a message from me about Election Day.… https://t.co/4LBkdGAP3I"
ladygaga,Listen up Florida. He says #ImWithHer (he lost a loved one in Orlando Massacre) https://t.co/xhckT8fwBd
ladygaga,#GoVote #Election2016 #ImWithHer #VoteHillary 🇺🇸👠 https://t.co/e0qnnLqCvs
ladygaga,. @realDonaldTrump you divided us with hateful language &amp; fear . I love everyone in this country and I vote for… https://t.co/BuUazmulGM
ladygaga,BREAKING NEWS: FBI CONFIRMED to congress TODAY there's NO criminal grounds for reasonable prosecution in relation to Clinton emails. RT RT!
ladygaga,#MinnesotaMonsters mobilize! RT Our republican candidate is a reality star leveraging our country for his own busin… https://t.co/QACGl83pnu
ladygaga,".@MELANIATRUMP to say u will stand for ""anti-bullying"" is hypocrisy. Your husband is 1 of the most notorious bullies we have ever witnessed."
ladygaga,"Young people listen up. We need to mobilize now, #VoteHillary and stop this dangerous man from continuing to divide… https://t.co/cDxddsvj3y"
ladygaga,"#Vote #GoVote I've been traveling the world. Our election is an international issue. If ""he"" wins we will be in a w… https://t.co/ix6Qg6jnDe"
ladygaga,"Ok monsters WHO I KNOW ARE VOTING ✌️Get to work. RT My thoughts as a ""celebrity"" insider, on Trump. And why it's im… https://t.co/IxfuDyWhEC"
ladygaga,#GagaSnapchatFilter #AYO  #JOANNE https://t.co/ilYBmoNlN9
ladygaga,Click the YouTube link and watch my 1st ever live tv performance of #JOANNE Thank u to my fans for embracing someth… https://t.co/AFHKbKR4SL
ladygaga,@sundance_girly thanks you 💋💋
ladygaga,Strong women have been called Witches &amp; Bitches for centuries. In 2016 they're called nasty. #GetNasty #VoteHillary https://t.co/hlecTlaILn
ladygaga,"If you haven't yet, pick up my song #MillionReasons or my new album #JOANNE here----&gt; https://t.co/vmCs264Zjw"
ladygaga,"@discofuck take 20 deep breaths slowly and then if you can hold ice cubes in your hands still it's hurts so bad you cant, helps me. Xoxo, J"
ladygaga,Wow this is so so special thank you my little creative angel! 😇 https://t.co/x4CaQbdBQs
ladygaga,"Awesome pants, even more awesome band. 💋xoxo, JOANNE https://t.co/hTppquqYin"
ladygaga,#JoanneVibes say hello from backstage at...??? https://t.co/m9PI2oUUo8
ladygaga,"Photo from Japanese Press Conference yesterday in Tokyo. #Joanne has been all about pastels, flowers and woman powe… https://t.co/8gZJkjrXfi"
ladygaga,https://t.co/uHaaLGqJdV
ladygaga,🎤🎶🙏💕💖🎉🎉🎉🎉Go #JOANNE !!!!! And go #JoanneCrew!! https://t.co/I8Psx3POjJ
ladygaga,I couldn't hold back the tears when my record label presented me with a custom #JoanneVibes Kimono. This is such a… https://t.co/WQ0RKzqoh2
ladygaga,I am so grateful to have the #1 Album in Japan for the 2nd week in a row. Can't wait to tell you the story of… https://t.co/kWgsAFl9V6
ladygaga,I could look out this window all night. But I have to be up early for Sukkiri!  Going to sing.....🎶🎶🎶🎤??? https://t.co/KnsUyoreCq
ladygaga,Wish I could sign and take pictures with every single one of you! Aishetemasu Japan! 💕&amp;✌️️🌸 I can't wait to sing fo… https://t.co/GxX4x4FV7U
ladygaga,So many gorgeous Japanese Angels😇 at the airport waiting for me! I love your 🎩 s &amp; joyful SPIRIT! We're back monste… https://t.co/1zRWdMktix
ladygaga,Up close write-up on my last Dive Bar show...for now. #JOANNE 😉https://t.co/GxZWW4bTci
ladygaga,When 🎃 Halloween is on the ✈️ to Tokyo. I need to sleep so I can kill my performances in Tokyo but I need a comfy c… https://t.co/iMSsOX88pI
ladygaga,"TOKYO, here we come! Thank you @JAL_Official_jp for the beautiful plane! https://t.co/NmoPip9qNL"
ladygaga,I can't believe I'm the Female Artist with THE MOST #1 ALBUMS THIS DECADE! 4 #1s That's a grand slam! @billboard 💕🕶… https://t.co/v2QH0GrrxR
ladygaga,@Gagas_Illusion i love this!! how can i buy it?
ladygaga,Yes you are!! So cool I love it 💕😇.#JoanneHalloween #Joanne https://t.co/F5RPbd13LQ
ladygaga,#JoanneHalloween and show me your #JoanneVibes this hollows eve 🎃
ladygaga,@XPedroBecerraX polka
ladygaga,Wow! 😍John Vincent THATS HOW YOU SING THE National Anthem! 🙏🇺🇸Goosebumps 🎶🎤Let's go @Cubs !!!!!!⚾️⚾️⚾️⚾️⚾️⚾️
ladygaga,So proud of my dad + his JOANNE TRATTORIA COOKBOOK full of family recipes and photos! Pre-order for the holidays https://t.co/ZRMreqO742
ladygaga,@WHISKYFORGAGA73 no way! Everyone is welcome! tattoos or not! #JoanneCrew is for everybody!
ladygaga,"@PrincessDieNYC @itsmattyklein The Joanne Crew is all about people helping &amp; loving each other. U r not alone, well heal each other w ❤️xoxo"
ladygaga,@lucanapp98 duh
ladygaga,@itsmattyklein U don't have to get the tattoo to be in the #JoanneCrew you jus' gotta carry those good vibes &amp; persevere through the pain.
ladygaga,"🙌Ladies and gentlemen..(drum roll) little monsters...let's welcome in The Joanne Crew...🙌 #JoanneCrew
#JOANNE https://t.co/BwD456bU7k"
ladygaga,Here's me performing last night #DiveBarTour i missed performing for you &amp; hearing you sing along! 💕🎶🎤… https://t.co/GTcI7WmkQo
ladygaga,"GET READY for the SUPERBOWL &amp; my tour for #JOANNE. This is just the beginning! 💕Song ""John Wayne"" available--&gt;here:… https://t.co/aKhBsG1RBl"
