author,content
justinbieber,Thank u #PurposeTourSanDiego
justinbieber,Yoooo TAYE WE GOT THREE IGUANAS AND SOME YELLOW CAKE WYA COME KICK IT @TayeDiggs BRING SOME JEANS ITS 2010 - JB
justinbieber,https://t.co/cj7HvWdMeS
justinbieber,The album https://t.co/ZWMJvhasht
justinbieber,Today is going to be a good day. #PurposeTourLasVegas
justinbieber,@Skrillex thanks bro u killed it
justinbieber,Let me see ur #Company art and lyric videos
justinbieber,Let's help kids get clean #WaterNow @WorldVisionUSA https://t.co/LBSi5Q1ErG #WorldWaterDay
justinbieber,Shout out to one of my inspirations @kanyewest for coming to the show tonight. Had to go big. #PurposeTourLosAngeles night 2
justinbieber,@twitter happy bday https://t.co/lYRyLDEf6c
justinbieber,#Company https://t.co/xICp1o7UwT
justinbieber,"Stream #Company on @Spotify
https://t.co/mcMxnxQcu2"
justinbieber,Thank you La and thank u @BigSean and @chancetherapper for joining me on stage tonight. #PurposeTourLosAngeles
justinbieber,La day 1 tonight #PurposeTourLosAngeles https://t.co/rkYHXb8reC
justinbieber,"3 #PurposeTourLosAngeles shows start tonight
https://t.co/47EzXsqk0L"
justinbieber,Need that. Click that---  https://t.co/NBtt0HVjhJ
justinbieber,#purposetouroakland tonight
justinbieber,My bud @MartinGarrix is headlining #UltraMiami tonight. Kill it bro
justinbieber,#company https://t.co/NBtt0HDIqb
